"Nr. crt.","Regiune","Județ","Legislație/Mecanism finanțare","Autoritatea finanțatoare","Local/ central","Domeniu","An","Lista ONG","Suma","Contact ONG-WEBSITE","","{=INDEX(Autoritatea finanțatoare,MATCH(0,COUNTIF($D$4:D4,list),0))}"
"7","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2013","Asociaţia Culturală „Almăşana” Almaş","3,000","","",""
"8","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2013","Asociaţia „Micălaca”","5,000","","",""
"9","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2013","Asociaţia „Pro Arad”","6,000","","",""
"10","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2013","Asociaţia „Pro Majlath”","5,000","","",""
"11","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2013","Asociaţia „Pro Pădureni - Erdohegyert”","3,000","","",""
"12","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2013","Asociaţia „Pro Zerind”","2,500","","",""
"13","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2013","Organizaţia Tineretului Maghiar din Arad","2,500","","",""
"14","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2013","Universitatea de Vest „Vasile Goldiş” Arad","3,000","https://www.uvvg.ro/site/","",""
"15","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Educație","2013","Asociaţia Judeţeană a Gospodarilor Maghiari Arad","7,000","","",""
"16","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Educație","2013","Asociaţia Sportivă VENUS Chişineu-Criş","2,000","","",""
"17","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Educație","2013","Asociaţia „Carpe Diem” Arad","7,000","","",""
"18","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Educație","2013","Fundaţia „Universitaria A”","4,000","","",""
"19","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2013","Liceul de Artă „Sabin Drăgoi” Arad","3,000","http://artesabindragoiarad.ro/","",""
"20","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2013","Universitatea „Aurel Vlaicu” Arad","5,000","http://www.uav.ro/","",""
"21","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2013","Universitatea de Vest „Vasile Goldiş” Arad","2,000","https://www.uvvg.ro/site/","",""
"22","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Asociaţia Clubul Sportiv „Şah Club Vados” Arad","10,000","","",""
"23","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Asociaţia Clubul Sportiv TEMERARII - Arad","2,000","http://www.cstemerariiarad.ro/","",""
"24","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Asociaţia Basket Club „Betcherriesreddy Light” Arad","10,000","","",""
"25","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Asociaţia Clubul Sportiv „Mistral” Arad","10,000","","",""
"26","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Asociaţia Judeţeană de Fotbal Arad","8,000","http://www.ajfarad.ro/","",""
"27","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Asociaţia Judeţeană de Fotbal Arad","15,000","http://www.ajfarad.ro/","",""
"28","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Asociaţia Judeţeană de Fotbal Arad","5,000","http://www.ajfarad.ro/","",""
"29","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Asociaţia UTA „Bătrâna Doamnă”","15,000","https://www.uta-arad.ro/","",""
"30","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Asociaţia UTA „Bătrâna Doamnă”","20,000","https://www.uta-arad.ro/","",""
"31","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Club West Sport Arad","5,500","https://west-club.ro/","",""
"32","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Clubul Sportiv Unirea Gurahonţ","5,000","","",""
"33","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Clubul Sportiv Vegas International Kart","64,500","","",""
"34","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Asociaţia Club Sportiv „Astra” ARAD","15,000","","",""
"35","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Clubul Sportiv „Atletico” Arad","15,000","http://www.atletico.ro/","",""
"36","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Clubul Sportiv „Atletico” Arad","10,000","http://www.atletico.ro/","",""
"37","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Clubul Sportiv „Atletico” Arad","30,000","http://www.atletico.ro/","",""
"38","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Clubul Sportiv „Urania” Arad","5,000","","",""
"39","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2013","Club Sportiv „West Olympia Phoenix”","15,000","","",""
"40","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2013","Asociaţia Angels Organization","4,000","","",""
"41","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2013","Asociaţia Angels Organization","5,000","","",""
"42","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2013","Asociaţia de Tineret Fiscut","1,000","","",""
"43","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2013","Asociaţia „Împreună Suntem Viitorul”","1,500","","",""
"44","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2013","Asociaţia Tinerilor Maghiari din Peregu-Mic - KMISZ","5,000","","",""
"45","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2013","Societatea Naţională de Cruce Roşie Română Filiala Arad","3,500","https://crucearosie.ro/contact-filiale","",""
"46","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2013","Organizaţia Tineretului Maghiar din Arad","5,000","","",""
"47","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2013","Organizaţia Tinerilor Maghiari din Pecica M-KIDSz","5,000","","",""
"48","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Protecţia mediului","2013","Asociaţia Judeţeană a Gospodarilor Maghiari Arad","5,000","","",""
"49","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Protecţia mediului","2013","Asociaţia pentru Promovarea Valorilor Naturale şi Culturale ale Banatului şi Crişanei „Excelsior” Arad","2,000","http://www.ongexcelsior.ro/","",""
"50","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Protecţia mediului","2013","Fundaţia Umanitară „Pro Armonia”","4,000","","",""
"51","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Protecţia mediului","2013","Fundaţia „Universitaria A”","4,000","","",""
"52","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Civic","2013","Asociaţia „Educatio” Arad","80,000","http://asociatiaeducatio.ro/","",""
"53","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Civic","2013","Asociaţia Pas Mare","5,000","","",""
"54","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Asociaţia ""Studio 73"" Arad","1,500","http://studio73.ro/","",""
"55","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Asociaţia PRO ZERIND","6,000","","",""
"56","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Asociaţia JUNII ŞIMĂNDANI","7,000","","",""
"57","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Asociaţia ""UNIREA"" Brazii","8,000","","",""
"58","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Fundaţia Umanitară PRO ARMONIA","7,500","http://www.proarmonia.ro/","",""
"59","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Asociaţia Culturală PRO VISIO","5,000","","",""
"60","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Asociaţia Aradi Kamaraszinhaz","5,000","http://akamara.ro/ro","",""
"61","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Asociaţia ""BUZAVIRAG"" Pecica","4,000","","",""
"62","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Asociaţia PRO PĂDURENI – ERDOHEGYERT","4,000","","",""
"63","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Universitatea de Vest ""Vasile Goldiş"" Arad","5,000","https://www.uvvg.ro/site/","",""
"64","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Asociaţia PRO MAILAT","4,000","","",""
"65","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Asociaţia Culturală ""ALMĂŞANA"" Almaş","5,000","","",""
"66","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Asociaţia ANGELS ORGANIZATION","5,000","","",""
"67","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Universitatea ""AUREL VLAICU"" Arad","3,000","http://www.uav.ro/","",""
"68","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Asociaţia CETATEA ŞIRIEI","10,000","","",""
"69","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Universitatea ""AUREL VLAICU"" Arad","500","http://www.uav.ro/","",""
"70","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Liceul de Arte ""Sabin Drăgoi""","3,000","http://artesabindragoiarad.ro/","",""
"71","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Universitatea ""AUREL VLAICU"" Arad","4,500","http://www.uav.ro/","",""
"72","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2014","Asociaţia Culturală ""Aradul Literar""","2,000","","",""
"73","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Educaţie","2014","Asociaţia Profesorilor de Educaţie Fizică şi Sport din judeţul Arad","2,500","http://www.apefsarad.com/","",""
"74","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Educaţie","2014","Asociaţia Împreună","4,000","","",""
"75","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Educaţie","2014","Fundaţia UNIVERSITARIA A","4,500","","",""
"76","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Educaţie","2014","C.S. WEST OLYMPIA PHOENIX","2,500","","",""
"77","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Educaţie","2014","Asociaţia Studenţilor Medicinişti Arădeni","6,500","https://www.uvvg.ro/site/","",""
"78","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2014","Organizația tinerilor din Pecica M-KIDSZ","5,000","","",""
"79","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2014","Asociația TRUST SOCIETY","4,000","","",""
"80","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2014","Asociația MARIS","5,000","","",""
"81","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2014","Asociația Tinerilor maghiari din Peregul Mic","5,000","","",""
"82","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2014","Asociația ANGELS ORGANIZATION","8,000","","",""
"83","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2014","ASOCIAŢIA DE DEZVOLTARE RURALĂ AVANGARDE","3,000","","",""
"84","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","C.S. Provolei Arad","8,000","","",""
"85","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","A.C.S. UTA Bătrâna Doamnă","140,000","https://www.uta-arad.ro/","",""
"86","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","A.C.S. Şah Club Vados","8,000","","",""
"87","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","A.C.S. Voinţa Arad","7,000","https://vointaarad.wordpress.com/","",""
"88","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","C.S. Urania Arad","5,000","","",""
"89","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","A.C.S. Fan Arad","10,000","","",""
"90","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","C.S. Vegas Internaţional Kart","99,000","","",""
"91","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","C.S. Atletico Arad","10,000","http://www.atletico.ro/","",""
"92","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","C.S. Atletico Arad","20,000","http://www.atletico.ro/","",""
"93","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","C.S. Atletico Arad","7,000","http://www.atletico.ro/","",""
"94","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","C.S. Amefa Arad","10,000","","",""
"95","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","C.S. Amefa Arad","10,000","","",""
"96","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","A.C.S. Univest Arad","7,000","","",""
"97","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","A.J. Baschet Arad","4,000","http://baschetarad.ro/","",""
"98","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","A.C.S. Naţional Sebiş","35,000","https://nationalsebis.ro/","",""
"99","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Protecţia mediului","2014","Asociaţia Profesorilor de Educaţie Fizică şi Sport din judeţul Arad","1,400","http://www.apefsarad.com/","",""
"100","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Protecţia mediului","2014","Fundaţia Umanitară PRO ARMONIA PET","6,000","","",""
"101","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Protecţia mediului","2014","Fundaţia UNIVERSITARIA A","3,200","","",""
"102","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Protecţia mediului","2014","Asociaţia Judeţeană a Gospodarilor Maghiari Arad","4,400","","",""
"103","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","CLUBUL SPORTIV ASTRA ARAD","5,000","","",""
"104","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","A.C.S. ŞOIMII PÂNCOTA","65,000","","",""
"105","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","CLUBUL SPORTIV VEGAS INTERNATIONAL KART","22,500","","",""
"106","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2014","CLUBUL SPORTIV AMEFA ARAD","52,128","","",""
"107","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2015","Asociaţia Angels Organization","4,500","","",""
"108","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2015","Asociaţia Aradi Kamaraszinhaz","8,000","http://akamara.ro/en","",""
"109","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2015","Asociaţia Carpe Diem Arad","8,000","","",""
"110","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2015","Asociaţia Iorgovanul","8,000","","",""
"111","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2015","Asociaţia PRO ZERIND","6,500","","",""
"112","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2015","Asociaţia „Unirea” Brazii","10,00","","",""
"113","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2015","Asociaţia Culturală „Almăşana” Almaş","6,000","","",""
"114","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2015","Asociaţia Delibab","5,300","","",""
"115","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2015","Asociaţia „Junii Şimăndani”","6,000","","",""
"116","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2015","Asociaţia PRO MAILAT","4,000","","",""
"117","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2015","Asociaţia „Pro Pădureni - Erdohegyert”","6,000","","",""
"118","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2015","Universitatea de Vest „Vasile Goldiş” Arad","9,000","https://www.uvvg.ro/site/","",""
"119","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2015","Liceul de Artă „Sabina Drăgoi” Arad","7,000","http://artesabindragoiarad.ro/","",""
"120","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Educaţie","2015","Asociaţia Profesorilor de Educaţie Fizică şi Sport din judeţul Arad","4,300","http://www.apefsarad.com/","",""
"121","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Educaţie","2015","Asociaţia Activ pentru Comunitate","12,000","http://www.activpentrucomunitate.ro/","",""
"122","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2015","ASOCIAŢIA TINERILOR MAGHIARI DIN PEREGUL MIC","7,500","","",""
"123","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2015","ASOCIAŢIA MARIS","14,700","","",""
"124","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2015","Organizaţia Tineretului Maghiar din Arad","5,820","","",""
"125","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2015","Club Sportiv „AMEFA” Arad","60,000","http://www.amefa-amc.ro/","",""
"126","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2015","Club Sportiv „ATLETICO” Arad","12,500","http://www.atletico.ro/","",""
"127","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2015","Club Sportiv „ATLETICO” Arad","35,000","http://www.atletico.ro/","",""
"128","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2015","Club Sportiv „ATLETICO” Arad","80,000","http://www.atletico.ro/","",""
"129","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2015","Club Sportiv „ATLETICO” Arad","12,500","http://www.atletico.ro/","",""
"130","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2015","Asociaţia Clubul Sportiv Şcolar „Avram Iancu” Arad","35,000","","",""
"131","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2015","Asociaţia Club Sportiv Fan Arad","40,000","","",""
"132","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2015","Asociaţia Club Sportiv Pro Volei Arad","30,000","","",""
"133","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2015","Asociaţia Clubul Sportiv Univest Arad","20,000","","",""
"134","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Protecţia mediului","2015","Asociaţia Profesorilor de Educaţie Fizică şi Sport din judeţul Arad","3,500","http://www.apefsarad.com/","",""
"135","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Protecţia mediului","2015","Asociaţia Speologică Speowest Arad","5,000","http://www.speowest.ro/","",""
"136","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2015","Asociaţia „Iorgovanul”","6,240","","",""
"137","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2015","Asociaţia Culturală PRO-KI-DOR","10,810","","",""
"138","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2015","Asociaţia „Pro Pădureni - Erdohegyert”","5,640","","",""
"139","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2015","Organizaţia Tinerilor Maghiari din Pecica","9,600","","",""
"140","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2016","Asociaţia „Pro Majlath”","3,500","","",""
"141","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2016","Asociaţia „Buzavirag” Pecica","6,000","","",""
"142","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2016","Asociaţia „Delibab”","3,500","","",""
"143","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2016","Asociaţia EIVA Arad","1,500","http://eiva.ro/","",""
"144","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2016","Asociaţia „Iorgovanul”","1,000","","",""
"145","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2016","Asociaţia „Junii Şimăndani”","1,000","","",""
"146","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Cultură","2016","Asociaţia „Pro Zerind”","3,500","","",""
"147","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Educaţie","2016","Asociaţia Activ pentru Comunitate","6,500","http://www.activpentrucomunitate.ro/","",""
"148","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Educaţie","2016","Asociaţia Profesorilor de Educaţie Fizică şi Sport din judeţul Arad","7,000","http://www.apefsarad.com/","",""
"149","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Educaţie","2016","Asociaţia Studenţilor Medicinişti Arădeni","3,000","https://www.uvvg.ro/site/","",""
"150","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Educaţie","2016","Asociaţia Studenţilor Medicinişti Arădeni","3,500","https://www.uvvg.ro/site/","",""
"151","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2016","Asociaţia EIVA Arad","10,000","http://eiva.ro/","",""
"152","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2016","Asociaţia Folclor Tradiţional Arădean","10,000","","",""
"153","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Tineret","2016","Asociaţia Maris","10,000","","",""
"154","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2016","Asociaţia Club Sportiv Pro Volei Arad","25,000","","",""
"155","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2016","Asociaţia Club Sportiv Pro Volei Arad","20,000","","",""
"156","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2016","Asociaţia Club Sportiv Banzai Karate Club Arad","28,000","","",""
"157","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2016","Asociaţia Club Sportiv UTA „Bătrâna Doamnă”","160,000","https://www.uta-arad.ro/","",""
"158","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2016","Club Sportiv „ATLETICO” Arad","23,000","http://www.atletico.ro/","",""
"159","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2016","Club Sportiv „ATLETICO” Arad","48,000","http://www.atletico.ro/","",""
"160","Vest","Arad","Legea 350/2005","Centrul Cultural Judeţean Arad","Local","Sport","2016","Clubul Sportiv Vegas International Kart","60,000","","",""
